ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
1319507,7,15,1993,200000,3,8,0,2,18,False
3064586,8,17,2020,750000,11,8,6,2,1,False
1997164,10,14,2003,830000,3,8,6,3,1,False
2284706,1,30,2007,0,3,8,6,15,18,False
1629162,7,28,1998,170000,3,3,2,3,1,False
2877633,7,15,2017,1500,12,3,2,15,18,False
2080184,10,18,2004,408000,3,8,6,3,1,False
3050665,6,5,2020,660000,11,8,6,2,1,False
1775364,8,25,2000,190000,3,3,2,3,1,False
1195958,6,18,1991,0,3,8,6,15,9,False
1928230,12,12,2002,0,3,8,6,15,11,False
1628861,7,28,1998,0,3,3,6,15,18,False
3073450,9,29,2020,0,11,8,6,15,18,False
2459594,9,20,2010,384200,3,8,6,3,1,False
2118791,4,25,2005,350000,3,8,6,3,1,False
1651566,11,9,1998,0,3,8,6,2,14,False
1913305,9,17,2002,535000,3,8,6,3,1,False
3063665,8,16,2020,700000,14,3,2,2,1,False
2093941,12,30,2004,230000,2,8,6,3,1,False
2198704,4,3,2006,309150,2,8,6,3,1,False
3060554,7,28,2020,811000,11,8,6,2,1,False
2206757,5,12,2006,790000,3,8,6,3,1,False
1721861,11,9,1999,0,3,8,6,15,5,False
1894852,6,21,2002,365000,2,8,6,3,1,False
1963319,4,10,2003,0,3,0,0,15,18,False
2514192,10,6,2011,97605,3,8,6,15,14,False
2621332,7,16,2013,172550,3,8,6,18,4,False
2621332,7,16,2013,172550,3,8,6,18,4,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
2527420,11,28,2011,0,3,8,6,4,8,False
1225733,1,3,1992,193000,3,8,0,2,18,False
1420464,3,14,1995,25000,3,3,2,15,9,False
1323495,7,29,1993,0,3,2,0,15,18,False
1323495,7,29,1993,0,3,2,0,15,18,False
2141288,7,18,2005,417000,3,8,6,3,1,False
1582310,12,1,1997,0,3,8,6,15,14,False
2323287,12,3,2007,332950,3,8,6,3,1,False
1823706,6,5,2001,0,3,8,6,15,18,False
1548882,6,10,1997,0,3,8,6,15,10,False
2266352,2,8,2007,372500,2,8,6,3,1,False
1324288,8,6,1993,106950,3,8,0,2,1,False
1051651,3,22,1989,0,3,8,0,15,9,False
2500644,7,8,2011,0,3,8,6,3,5,False
1296187,2,2,1993,0,3,8,0,15,9,False
2311527,9,11,2007,379000,2,3,2,15,10,False
2570332,10,23,2012,13400000,3,2,7,22,1,False
2261306,1,19,2007,2800000,3,2,11,22,1,False
2261306,1,19,2007,2800000,3,2,11,22,1,False
2261306,1,19,2007,2800000,3,2,11,22,1,False
1625698,7,13,1998,20000,3,2,11,3,5,False
1304843,4,21,1993,91000,3,8,6,2,1,False
1558581,7,29,1997,237500,3,8,6,3,1,False
2093234,12,28,2004,285670,2,8,0,3,1,False
2645235,12,2,2013,565000,3,3,2,3,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
3076655,10,15,2020,13999986,11,8,6,2,1,False
2428402,2,5,2010,0,3,3,2,18,4,False
2270753,3,6,2007,323950,2,3,2,3,1,False
2367258,10,10,2008,1900000,3,8,6,3,1,False
1249886,5,20,1992,113000,3,8,6,2,1,False
1257872,6,29,1992,0,3,8,0,15,18,False
2227277,8,2,2006,0,3,8,6,4,5,False
1284454,12,5,1992,0,1,7,0,15,18,False
3100167,7,28,2005,0,11,8,6,2,16,False
